LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
200000,2,2,1,46,1,2,2,2,4,0,29124,31956,31114,26265,29862,23716,4006,15194,6698,12529,16995,9317,1
50000,1,2,2,61,0,0,3,-1,1,-1,19565,22100,19637,20857,25503,29915,13055,18114,5234,7209,15899,19978,0
500000,1,3,2,36,0,-1,-1,0,1,2,230353,227143,219482,167322,172817,133214,113412,99513,52677,148755,59069,105416,0
300000,2,1,1,22,-1,1,-1,-1,-1,0,66427,45329,47802,48134,51522,53876,44066,37624,6782,11190,34072,27408,0
200000,1,2,2,42,4,4,4,1,7,2,13296,15478,18441,19093,17813,16754,4842,6281,5209,8496,9694,5667,0
30000,2,1,1,31,-1,-1,0,0,0,0,2565,2725,2516,2751,2609,2112,855,946,555,1567,2278,576,0
80000,2,2,2,22,4,3,1,2,-1,3,27181,24623,26229,21867,20737,19775,7584,6112,11654,7010,6721,11492,1
10000,2,1,2,62,-1,1,0,-1,0,-1,2104,2008,1739,1780,1587,1536,1521,1504,1037,683,873,1233,0
30000,1,2,2,59,1,0,-1,-1,1,-1,11904,11449,12397,12830,13903,13233,9611,5197,7827,7877,11714,10494,0
150000,2,1,1,32,-1,-1,0,-1,-1,-1,28508,28776,26556,24393,24656,23849,23577,15027,9514,13598,20206,16146,0
150000,2,2,1,66,5,4,3,4,7,3,47095,44591,43824,49846,48593,59699,10053,16460,5032,22759,9207,32740,1
500000,2,2,1,23,2,-1,0,-1,3,-1,37386,44374,48023,51446,43883,42907,29393,29338,13364,31037,33676,28435,0
50000,2,1,1,24,0,0,-1,0,1,0,3541,3828,4574,3906,4116,4325,1310,2712,2688,1620,1587,2030,0
50000,2,3,1,56,0,2,6,0,3,2,23516,19410,21535,22293,15993,16840,4365,13362,7586,5066,4440,8759,0
80000,1,1,1,32,-1,-1,0,-1,-1,0,31923,38550,40369,42849,50028,43387,6596,4310,33474,9741,38641,6144,0
30000,2,1,1,58,0,0,-1,-1,-1,-1,8060,7841,9224,9090,8662,8448,5159,5270,5867,2098,6034,1003,0
20000,1,2,1,50,-1,-1,-1,0,-1,-1,6603,6511,8281,7581,7786,9930,4351,4849,6570,6788,6081,5094,0
80000,2,1,2,40,-1,-1,0,0,-1,-1,11697,8961,8044,7234,7199,7398,9101,4768,6026,5437,2216,1806,0
30000,1,2,1,43,2,2,2,2,3,1,11861,13765,14191,13289,12736,16746,6190,3479,6382,2936,5221,1670,1
150000,2,1,2,56,-1,-1,-1,0,-1,-1,87399,91925,87202,96602,114291,117425,20634,63845,12892,48565,20360,52655,0
80000,2,2,2,67,-1,-1,-1,0,-1,-1,22067,22905,24605,23168,24944,28995,11127,8816,12243,15095,17019,12386,0
200000,2,2,1,49,3,3,4,0,5,-1,20049,16952,16315,19487,18009,24384,8522,12588,3291,5647,5496,8026,0
150000,1,2,1,54,-1,1,-1,0,0,-1,31015,17778,14155,17079,22362,16342,13698,9456,9132,13293,16186,2511,0
50000,1,1,2,33,-1,0,-1,1,-1,-1,22992,20259,20090,23129,24888,23737,9260,6528,16260,17477,3141,7472,0
200000,1,1,1,32,-1,-1,-1,-1,-1,-1,56217,71474,93183,116505,89429,91849,48058,36357,58601,62067,32632,30490,0
200000,2,2,2,41,-1,-1,-1,-1,-1,-1,87210,80347,73169,73141,51653,56357,24813,29772,64122,48395,23536,44220,0
80000,1,1,1,40,0,0,2,1,0,0,8297,7085,4345,4778,3648,4024,2780,5706,2953,1910,517,2488,0
50000,2,2,1,50,-1,0,2,0,0,-1,10253,10158,9037,10236,10575,10701,1724,6544,7867,6444,5646,6264,0
150000,1,3,1,66,0,1,-1,0,-1,0,40430,35173,38652,28738,29650,22640,16102,23149,12191,16957,14866,8236,0
30000,2,3,1,62,1,3,4,2,1,3,4297,5000,4992,5243,5642,5790,2082,1618,2449,3255,2729,541,1
30000,2,1,2,63,1,-1,-1,-1,0,1,13056,11639,10231,9173,9388,10714,5983,2788,6987,5876,3455,1524,0
10000,2,3,2,32,-1,0,2,3,0,1,2148,1989,1859,1666,1846,1965,1090,391,409,260,1269,1252,0
200000,2,2,1,33,-1,-1,-1,-1,-1,-1,35167,38215,25026,21408,22854,24587,21618,6641,14959,9669,13140,18260,0
150000,2,3,2,27,0,-1,3,-1,-1,-1,7905,8610,8094,7487,6767,6103,4173,3492,886,1529,2896,4041,0
150000,2,2,1,59,-1,1,2,0,-1,0,8983,9240,11973,11875,12368,11930,2712,4128,4038,3995,2403,1932,0
200000,1,1,1,63,-1,-1,-1,-1,0,0,53548,56803,47482,45270,38839,36976,42278,47181,10688,11591,9133,31036,0
80000,2,3,1,37,3,4,2,5,5,1,24928,20260,19836,19620,19780,22977,9387,10985,8128,4940,9894,5469,1
100000,2,1,2,67,-1,0,1,-1,0,-1,39192,31756,29727,30666,32406,30556,9701,13452,12399,3527,4859,25016,0
30000,1,1,2,64,1,1,-1,0,0,0,16069,18117,18403,15376,16227,17347,6575,8804,2721,2746,2116,4109,0
20000,1,2,2,23,1,1,0,0,3,-1,5955,7454,8057,4748,4886,4606,2977,1875,4775,1495,3759,1863,0
150000,2,2,1,51,1,-1,1,-1,0,1,45548,38600,34249,35202,36409,47010,5445,16654,8967,4914,30387,6901,0
80000,2,1,1,68,0,-1,-1,0,-1,-1,31846,37976,35864,30708,32354,33495,4065,27865,31294,12004,18827,11853,1
100000,2,1,1,21,3,1,1,1,3,0,37442,38753,35951,35264,28815,36535,8291,30324,6863,19870,20039,17509,1
200000,1,3,2,57,-1,-1,-1,-1,-1,-1,29518,39112,39407,25138,27228,20342,9767,7113,8491,15591,16877,16312,0
150000,2,2,2,30,6,2,3,2,4,2,40669,38060,43017,34863,34686,35195,7344,5458,24997,15891,22128,12530,1
100000,1,2,2,66,5,3,1,-1,3,1,7648,6885,5921,7050,6684,5478,4926,1310,4003,4745,4680,1939,0
100000,1,2,1,69,4,0,2,3,4,3,17078,8416,4835,4461,5741,5658,9623,4503,2280,2438,3696,2818,0
50000,2,3,2,22,0,1,1,3,4,0,14052,14164,10782,10048,11292,11925,9080,1805,1385,6101,7590,4401,0
10000,1,1,2,56,-1,-1,-1,-1,-1,-1,566,636,523,607,587,695,193,566,184,436,95,438,0
80000,1,1,2,67,0,-1,-1,-1,0,-1,12628,12401,11128,11697,7670,7504,8141,5638,9423,1372,6762,3784,0
30000,1,3,1,42,-1,-1,-1,1,-1,0,13955,13643,12038,15488,14726,14145,9120,2407,6947,12181,5160,10819,0
80000,1,2,2,29,-1,-1,-1,-1,0,-1,33111,25380,20504,18978,16877,20900,10325,10594,13091,13817,2473,15636,0
300000,1,1,2,56,-1,-1,-1,1,0,-1,48631,60172,54245,66561,83614,89090,22316,40888,36417,7399,34346,15231,0
50000,1,1,2,24,-1,-1,-1,-1,-1,-1,21035,19684,23026,21917,24439,17924,10624,4376,14222,10339,16301,2478,0
20000,2,4,1,68,-1,0,0,1,0,-1,7038,7664,6720,8158,6434,6872,5738,2625,5355,3579,4328,2067,0
50000,2,2,1,63,-1,-1,-1,-1,-1,-1,6454,6089,5692,4612,5181,6215,4639,3719,4258,3266,4284,5429,0
50000,1,3,3,68,1,0,-1,1,-1,-1,11303,8374,7463,7014,5988,5643,9656,7081,6369,1129,5274,2367,0
150000,2,2,2,59,3,0,4,1,4,3,52053,43271,37010,40114,40787,41161,36028,23127,26323,5775,17748,16661,1
100000,2,2,2,55,0,-1,-1,-1,-1,-1,27562,29661,29493,28376,35070,37589,19773,14531,6137,8489,29083,21547,0
200000,1,3,1,42,1,-1,4,-1,0,1,64507,52688,46909,46378,38667,35841,24198,25800,18302,14684,16938,18101,0
150000,1,2,2,24,-1,-1,0,-1,-1,-1,74299,72713,61779,74430,62918,61892,25156,31065,6890,15138,15893,48882,0
80000,1,2,2,62,2,0,4,0,0,1,29676,31951,35103,33594,26014,19904,22559,15974,4923,25516,10343,14491,0
200000,2,2,1,39,-1,-1,0,0,0,-1,68029,74115,79737,71250,101047,92808,52707,34087,71336,13117,24056,54903,0
30000,2,3,1,64,0,3,0,3,2,1,12818,12015,10170,10954,11402,10392,7456,3522,6624,5908,4750,1095,0
10000,1,2,1,32,-1,-1,-1,-1,-1,-1,3114,3461,2964,3013,3368,3767,734,2580,1955,2610,901,3131,0
20000,1,1,1,21,0,-1,-1,-1,-1,-1,5235,6401,6324,5273,3700,5134,4536,3766,4810,2684,2231,817,0
150000,1,2,1,37,1,2,0,-1,1,1,11685,10367,11933,11259,15084,12757,4536,1447,5066,3639,7569,6045,0
80000,2,3,1,24,3,1,1,3,3,5,45587,48616,55655,67067,76379,82244,13164,24099,10006,21308,39546,46127,1
30000,1,3,2,58,4,1,1,-1,0,1,5469,5312,6322,5507,6172,6817,2104,2379,3273,1098,3284,4060,1
80000,2,2,2,49,0,0,0,1,0,0,25852,25907,26864,32950,28602,33644,21745,20787,15274,7563,12568,16452,0
30000,2,2,2,29,0,0,0,-1,-1,-1,7384,7974,6422,6852,6929,7587,4047,4283,1583,888,3482,5294,0
150000,2,1,2,23,-1,-1,-1,-1,-1,-1,27843,31156,24472,28229,20151,19992,16853,16462,11044,16998,8982,9715,0
80000,1,1,1,21,0,0,0,0,-1,-1,10677,12472,12491,13527,12994,14714,4530,10436,10741,8101,7018,8757,0
80000,2,3,2,52,-1,-1,-1,-1,-1,-1,32714,33590,38938,35272,34578,38758,4585,20741,32372,12278,16164,9169,0
50000,2,2,1,53,-1,-1,0,0,0,1,10122,7062,5705,4052,3243,3881,4628,6106,705,2816,1893,1540,0
150000,2,2,1,37,0,0,2,2,0,0,67505,50342,51434,44690,41217,45940,43526,38175,29531,24497,28577,38777,0
50000,2,2,2,63,0,0,-1,0,-1,0,9719,8868,9247,9476,9382,7929,5519,1935,7826,4522,1350,2023,1
20000,2,1,2,45,2,0,-1,0,-1,-1,12212,10770,9043,11215,10667,11950,5847,3984,1348,8650,3825,8554,0
20000,1,2,2,51,-1,-1,0,-1,1,-1,9528,8277,5849,6587,7415,8201,6428,6810,1236,3291,3698,5389,0
500000,2,3,0,65,3,0,-1,5,1,1,99003,94175,103102,96049,106788,98323,75389,46024,30361,57205,29949,29615,1
300000,2,2,2,26,0,-1,-1,0,-1,-1,94943,75862,86406,89970,95208,128064,51162,13299,74688,54119,47210,29830,0
150000,2,2,1,57,2,4,2,4,2,0,9688,9384,9221,11425,14697,13432,3409,3658,3008,1993,6625,7567,1
50000,2,2,3,45,1,1,1,0,2,1,20638,22601,20900,20558,20329,14236,9551,10814,2207,9368,9136,2712,0
500000,2,1,2,38,4,1,3,3,0,1,183599,197132,182258,212499,197991,148397,47875,77071,40594,140103,119512,107784,1
200000,2,1,1,53,2,1,-1,0,2,4,75260,88055,90827,71131,61502,55355,12225,64304,12843,55841,34912,32474,1
150000,1,1,1,65,2,0,3,1,1,3,23387,23302,20763,16870,19123,18854,12758,6596,3263,1874,2200,9027,1
80000,1,2,2,67,1,1,1,0,0,-1,41564,41505,43299,45184,42157,48720,32055,5261,17222,39266,27377,35390,0
50000,2,4,2,44,1,2,1,0,1,0,18000,13871,12284,12980,11811,10080,6918,6361,9456,6475,8610,2194,1
20000,2,2,2,46,-1,-1,-1,-1,-1,-1,6839,5916,5059,5147,4866,5244,3170,1910,4156,3682,1913,3772,0
300000,2,3,2,39,-1,2,1,-1,0,1,31376,29987,23169,19642,24077,25228,23584,5271,10918,12999,16328,9538,0
80000,2,1,1,66,0,1,0,1,-1,0,12206,10951,10326,10865,11121,10847,5404,7802,5236,8432,5086,4338,0
30000,2,2,2,67,1,0,1,0,0,1,1667,1352,1553,1628,1486,1155,414,534,946,577,891,407,0
50000,1,2,2,45,1,-1,2,4,-1,0,30699,26012,29956,31329,31439,24567,13946,5882,5612,7804,7149,5551,1
100000,2,1,1,22,1,-1,2,-1,0,0,12614,13811,11269,8995,10366,12764,4160,4832,1364,2316,4380,8986,0
30000,2,1,2,38,1,0,-1,-1,2,2,19709,26319,29654,36000,30133,28950,6909,2664,25000,24226,14266,5382,0
300000,1,1,1,47,2,2,3,5,1,3,146101,133711,137558,156548,178294,180050,20312,88742,85446,58734,103734,72435,1
200000,1,1,2,60,-1,-1,0,0,-1,-1,120669,112170,130032,179962,175856,219873,20038,84690,90801,150098,70778,83549,0
150000,1,3,2,66,0,-1,2,3,0,2,15221,16782,21045,22840,18362,17298,8329,13085,13684,3408,14514,12578,0
80000,1,1,2,24,1,0,0,2,1,1,30589,28966,25836,31189,34083,38548,5967,16923,6099,10855,30665,14304,0
100000,2,1,1,66,2,0,0,1,1,1,63059,47398,38240,44416,29407,26738,51841,38663,4358,36814,7222,7227,0
100000,2,2,3,31,-1,-1,0,-1,-1,0,37905,36413,46323,52178,65673,52569,6128,28550,36853,25536,36253,40511,0
150000,2,1,1,28,0,2,1,1,3,0,83960,93515,88756,104585,115900,95632,25246,35775,59055,56964,34094,12638,0
20000,2,2,2,67,-1,0,-1,-1,0,0,4669,3983,3315,3592,4016,4284,3921,862,929,3005,2410,2186,0
80000,2,1,2,61,0,-1,0,0,0,-1,10055,9993,9736,8132,8556,9255,3169,1868,4149,6319,5611,6159,0
10000,2,3,1,65,1,2,1,1,-1,-1,4610,5066,4699,4691,5639,6698,883,2638,1525,557,4369,1896,0
80000,1,3,1,39,-1,-1,-1,-1,-1,-1,15589,15732,18099,16121,14158,17933,8579,11255,12431,2650,9000,3996,0
50000,1,3,1,45,2,3,0,3,3,3,14961,16009,18790,25142,30030,39129,4608,7935,6712,4049,14550,19143,1
30000,2,1,1,58,3,1,1,4,2,2,10239,12332,9589,8494,8800,7521,3489,8743,3759,2288,1963,3965,1
20000,2,1,2,53,0,-1,0,-1,-1,0,7223,8119,7438,7781,8751,8924,4930,1174,5667,3883,6655,3076,0
100000,2,3,1,21,4,1,0,3,0,1,30605,33405,36237,32897,29739,40044,11984,22613,8291,13535,18865,27280,0
30000,2,3,2,61,0,0,-1,2,-1,-1,2282,1695,1819,1424,1402,1407,1508,956,939,190,503,412,0
300000,1,2,1,22,1,1,3,2,1,2,20405,15234,18054,18962,24276,18768,6406,1372,12571,12239,16848,2869,0
100000,1,2,1,25,-1,-1,-1,-1,-1,-1,20961,21450,19379,21030,21979,22104,2649,9725,9797,5358,6160,6828,0
50000,2,2,1,31,1,2,2,4,0,2,31646,33269,33875,29969,23587,20287,21886,14621,17136,4696,14117,2478,1
100000,2,1,2,54,0,1,5,0,4,2,22466,20702,17852,18250,21885,25668,2106,3930,11687,2775,14248,10862,0
10000,1,2,0,49,-1,-1,-1,1,-1,0,581,711,693,648,668,678,518,616,306,127,397,537,0
500000,2,3,2,63,2,1,1,2,-1,0,202510,179549,162580,121787,118879,121470,154864,89550,120180,30932,60406,18013,0
80000,2,3,1,67,-1,-1,-1,0,-1,-1,8315,8357,9189,9417,9615,10392,6303,7067,2061,1156,6127,7875,0
200000,2,1,1,26,-1,1,0,-1,0,-1,90100,94141,109059,133003,146166,198463,31319,64157,78629,46814,130568,84605,0
20000,2,1,2,60,2,0,2,2,1,1,7703,6263,5924,5873,5372,6457,4370,4320,3111,1239,3412,4669,0
80000,2,1,1,58,3,2,3,4,6,2,46650,43928,41200,42637,53470,44596,18911,12948,9277,16976,11988,11638,1
80000,2,1,2,29,-1,-1,0,1,-1,-1,25186,29222,26120,20698,14957,17842,5590,15214,19325,2926,5439,8015,0
500000,2,1,2,22,4,0,2,2,2,1,160365,147242,144939,176921,116283,110635,83600,24095,47043,32645,61785,25776,0
100000,2,1,2,30,2,0,4,2,-1,3,20616,15588,14370,13450,12641,12736,11138,4407,4985,7450,7442,3480,0
80000,2,3,1,54,-1,-1,-1,-1,0,0,19437,19101,15707,20524,21089,11510,11071,13703,8118,4680,11723,9457,0
50000,2,3,2,64,2,-1,-1,-1,0,0,5573,6168,6302,4847,4326,4442,1635,4266,4226,1641,556,839,0
50000,2,3,2,35,-1,-1,-1,-1,-1,-1,29972,28994,33692,33386,33416,37315,16286,6070,8163,3736,9602,15981,0
100000,2,2,2,57,0,-1,-1,1,0,2,49562,48464,46600,37321,27038,30645,41307,31286,41194,31393,4101,22565,0
80000,2,2,1,32,-1,-1,-1,0,-1,-1,19109,19985,23950,22357,23096,24632,6927,14242,13231,10929,2856,3931,0
10000,2,2,1,49,0,0,0,-1,0,1,511,462,404,211,215,243,446,194,258,153,33,131,0
200000,1,2,1,65,3,0,2,2,5,2,106955,91637,100265,105970,92195,119045,36989,48089,76037,69532,67119,40354,1
300000,1,1,2,23,3,0,0,1,1,1,21236,26725,30643,25083,18874,20457,5328,21955,6054,14140,6714,10812,0
30000,1,1,1,32,-1,0,0,-1,0,-1,4712,5819,5188,4784,5666,5834,3433,3753,4153,1743,3581,1382,0
100000,2,2,1,28,2,1,2,2,-1,5,4513,3445,3566,4233,4965,5603,1151,1138,379,3128,2045,3252,0
20000,1,2,2,40,0,1,2,2,2,1,10227,12613,13112,11539,11411,12228,3942,8114,5014,2708,2404,9481,0
150000,2,1,2,48,5,3,3,3,2,1,80937,78951,77388,102995,104561,94396,55432,10428,32980,66987,78678,16141,1
50000,1,2,2,53,0,1,4,2,1,1,21340,21482,22179,18161,20258,23919,4405,5416,2657,8735,14665,9444,0
150000,1,3,1,62,-1,-1,-1,-1,-1,-1,11812,13522,17539,12851,13270,14969,1732,7764,14608,5152,4063,5487,0
150000,2,1,2,28,3,1,-1,0,6,3,30744,21933,20286,24689,16313,17242,4150,7974,5496,14210,1629,13293,0
200000,2,1,1,52,-1,-1,-1,-1,0,-1,124775,166985,193992,198793,194773,226282,80644,135063,68313,144872,130013,112910,1
20000,1,4,2,60,1,-1,0,0,-1,0,8920,8075,6469,5925,5172,5756,2436,1559,1890,646,4073,1154,0
300000,2,1,1,45,-1,1,-1,0,1,1,99218,100035,69053,55975,50413,49935,58886,72014,44829,33014,5740,34391,0
50000,1,1,2,51,1,1,-1,0,-1,1,24147,25180,27599,29649,27639,24754,17031,15748,4902,4268,8039,19730,0
10000,2,2,2,65,-1,-1,-1,-1,-1,-1,2474,3027,1924,2141,2310,2831,1195,815,1133,679,353,646,0
100000,1,4,2,65,-1,-1,1,1,1,1,12905,14283,19086,21124,20192,20807,4034,9671,1887,17411,12372,15407,0
50000,1,1,2,23,0,1,-1,1,0,-1,19542,16472,12300,11774,12712,10560,6275,5144,4032,8153,4353,5879,1
200000,1,1,1,50,0,-1,-1,0,2,-1,129834,110813,96176,118621,101697,100411,40160,69497,82070,91903,46103,15843,0
200000,1,2,2,27,0,-1,-1,-1,-1,-1,22228,23342,15875,20336,18449,19734,5787,15800,9360,2602,4420,10246,0
50000,2,2,2,22,-1,-1,-1,-1,-1,0,18368,17414,15398,15430,13591,13680,8406,8931,12987,2294,7670,9429,0
500000,2,2,3,32,-1,0,0,0,-1,2,316917,301216,214200,247317,280988,385970,257883,182625,156565,126961,147765,226427,0
50000,1,4,1,29,0,1,1,1,0,-1,14433,8963,9281,10293,9625,11694,11026,1077,7033,4612,6741,7217,0
100000,2,2,2,21,0,4,3,0,4,1,43961,56662,55373,68582,60818,59854,12130,26440,11737,42869,37281,38608,0
50000,2,1,1,45,0,-1,0,-1,0,1,17930,18153,18854,12308,13597,15131,3007,10634,3632,6154,11883,2283,0
500000,1,2,2,42,-1,1,1,1,2,2,281979,334479,405465,405215,438595,369420,164261,68342,211208,67184,151164,158061,0
30000,2,2,1,44,0,0,0,-1,-1,-1,9815,10571,10507,11089,11615,12124,4271,3444,4759,8900,3445,7421,0
10000,1,2,1,40,0,0,-1,-1,-1,-1,3103,3495,2937,2390,2213,2401,1056,2623,1327,1355,935,1925,0
80000,2,2,2,50,-1,0,-1,2,-1,-1,12436,14326,12878,14682,13591,11743,5168,2871,10595,2383,9668,3094,0
1000000,2,2,2,27,-1,-1,-1,-1,0,-1,144833,123661,108512,129803,168029,157520,75423,33437,46733,50901,21199,52422,0
300000,1,2,2,31,0,1,1,1,2,0,167857,185934,149834,149748,137392,104717,132880,64290,14288,74711,21990,19571,0
150000,1,2,1,23,-1,-1,-1,0,-1,-1,49523,34287,35637,37760,38987,38161,15499,4937,21731,10429,25481,32102,0
300000,1,1,1,36,1,-1,0,2,1,0,57913,59356,74348,65652,58767,53844,46341,17398,47711,47939,33164,38645,0
300000,2,2,2,24,-1,-1,1,0,-1,2,46323,51490,58460,73963,68220,74033,35544,38041,21574,17165,16795,44511,0
100000,2,1,1,52,-1,0,-1,-1,0,-1,54744,51455,46305,54515,52271,56552,10533,12070,38514,35161,28268,29063,0
50000,2,1,2,43,3,3,1,2,0,1,9112,8295,8596,7011,7150,7645,6872,1486,1301,3361,4884,1715,0
200000,1,2,2,46,1,1,4,4,1,-1,110517,90158,83639,91076,119012,158708,15805,40667,39819,10426,50377,107624,0
150000,1,3,2,56,0,4,1,0,-1,-1,86161,71439,72712,88240,105920,115681,65264,21241,25778,40153,48687,82274,0
50000,1,1,2,33,-1,-1,-1,0,-1,-1,5796,6470,5614,4555,5042,5631,2392,4249,1526,3757,1407,4826,0
20000,1,2,1,27,-1,-1,-1,-1,-1,-1,13337,12673,11051,11726,12957,15552,1462,3069,9063,4316,6840,5908,0
150000,2,1,1,38,0,0,2,1,-1,3,17724,15225,13331,13986,11155,10131,1961,3630,5565,5637,1154,1472,0
50000,2,1,2,57,6,6,6,5,5,7,11790,11333,12717,12300,7228,6257,5539,5738,3375,3334,3444,1196,1
500000,2,2,1,26,-1,-1,-1,-1,-1,-1,175056,184879,216422,195751,238381,279494,81631,117527,85559,92395,103964,122851,0
50000,1,1,1,29,1,4,4,-1,4,3,5295,4085,4185,4291,4166,4934,2856,1308,2429,844,1555,1729,1
20000,2,2,1,67,-1,-1,-1,0,-1,0,5253,5333,7213,7801,7215,7710,4476,2894,5472,5538,3949,2159,0
200000,2,2,1,49,3,6,0,4,4,1,114427,91569,88105,62134,70022,62341,67768,14391,68911,35070,11022,13206,1
30000,1,2,1,62,-1,-1,0,-1,-1,-1,3787,3451,2320,2303,1967,1892,3346,969,1436,1088,600,325,0
30000,2,2,2,36,0,1,3,4,1,0,14471,13845,15337,19094,20392,13561,5303,4437,10686,11835,12375,2690,0
100000,2,2,2,54,3,1,3,2,5,3,55573,54287,50937,59928,67145,91513,31651,22635,6317,37185,40011,38673,0
300000,2,2,1,26,1,-1,-1,-1,-1,2,159486,174740,202776,213971,158360,174038,52716,67143,107729,101252,133901,64584,0
30000,2,1,2,66,1,0,0,1,1,1,18405,19865,17015,19863,20561,23847,10920,13343,3591,9395,2480,16567,0
50000,1,2,1,57,1,1,-1,0,0,0,26152,30604,23545,29274,27884,23386,19219,10094,19712,17757,21724,2702,0
200000,2,3,2,68,-1,-1,0,-1,-1,0,37031,39481,33999,33759,32810,27306,11234,23968,15314,29053,5519,10860,0
500000,2,2,1,45,1,-1,1,2,1,0,143679,145938,141026,119623,97939,111229,45323,95178,89319,20110,62294,13161,0
80000,2,1,1,25,0,2,3,1,1,3,46817,52878,46498,36484,38364,24122,16737,34542,12707,8446,31760,8563,1
30000,1,2,1,44,1,5,2,4,4,2,4363,4208,4406,3641,3271,3834,1672,1809,1476,1767,1210,927,0
10000,1,2,2,38,-1,-1,-1,-1,0,0,995,1209,1074,830,612,591,195,229,770,242,366,248,0
30000,2,1,2,44,-1,0,-1,0,0,4,9430,10581,9416,9029,9145,9906,3592,4429,4345,6711,7419,2584,0
30000,2,2,2,60,3,-1,-1,0,0,0,9228,7597,8083,6852,4788,5736,2304,4045,5102,2921,3527,4582,1
150000,2,2,2,32,0,1,1,3,1,-1,78705,88234,87819,114631,108664,119963,19704,8261,69043,46643,30225,18976,0
20000,2,2,1,45,2,0,1,1,1,0,4315,4546,2940,3452,3514,3499,1324,1028,1521,404,1845,1323,1
80000,2,2,1,39,-1,-1,0,1,0,0,34293,33877,38059,34829,31587,30300,19051,7443,24883,6246,17810,19083,0
150000,2,2,1,56,1,2,0,5,0,2,52066,43031,35725,32467,33672,41804,10232,30458,12012,9310,5659,18894,1
100000,1,2,1,49,0,-1,-1,-1,-1,-1,33202,34991,37105,38690,44795,58251,11216,15900,31563,24525,8533,31143,0
30000,2,3,1,54,1,0,2,2,2,0,11217,9066,9925,10957,13153,13383,3968,1361,4027,6599,4176,7107,1
200000,2,1,2,21,0,0,2,2,2,1,54911,56626,49914,52337,50461,40888,21107,23646,13698,40835,6792,28763,0
150000,2,1,1,65,1,2,1,0,2,2,49617,49893,48601,61907,51507,45923,26243,22429,16893,24979,30270,11978,0
150000,2,2,1,69,-1,-1,-1,-1,-1,-1,64139,73797,78483,95586,102579,125203,23647,16186,65138,57434,84796,31937,0
